3.8835,11.7649,9.0215,14.3999,22.8870
3.8832,11.7675,9.0871,15.5788,23.0662
3.8828,11.7699,9.1530,14.8373,23.7141
3.8824,11.7722,9.2168,14.5534,23.6937
3.8820,11.7742,9.2792,14.4298,23.4637
3.8816,11.7761,9.3404,14.3710,23.2419
3.8812,11.7779,9.4012,14.5313,23.2532
3.8807,11.7796,9.4609,14.8275,23.6794
3.8803,11.7813,9.5223,14.8962,23.9519
3.8798,11.7828,9.5818,14.7033,23.7712
3.8793,11.7840,9.6389,14.5361,23.4134
3.8788,11.7849,9.6945,14.6001,23.1586
3.8783,11.7857,9.7460,14.6264,22.9647
3.8778,11.7864,9.7966,14.6098,22.8130
3.8767,11.7077,9.7170,0.0000,15.7046
3.8761,11.6995,9.6895,17.3513,16.2388
3.8756,11.7249,9.7456,17.8369,16.2825
3.8750,11.7559,9.8341,17.6307,16.3239
3.8744,11.7787,9.9342,17.3479,16.3514
3.8738,11.7883,10.0228,16.7896,16.3592
3.8733,11.7878,10.0839,17.1676,16.3652
3.8726,11.7844,10.1274,17.6551,16.3772
3.8720,11.7809,10.1606,14.3310,16.3797
3.8714,11.7780,10.1875,12.7723,16.3841
3.8708,11.7753,10.2188,14.3603,16.3873
3.8701,11.7721,10.2516,13.8393,16.3905
3.8695,11.7691,10.2758,12.6330,16.3878
3.8688,11.7658,10.2925,11.7526,16.3828
3.8681,11.7617,10.3021,11.1305,16.3751
3.8674,11.7579,10.3094,10.8294,16.3648
3.8668,11.7541,10.3140,10.7029,16.3528
3.8661,11.7502,10.3179,10.7931,16.3407
3.8653,11.7449,10.3163,10.9206,16.3298
3.8646,11.7410,10.3121,10.4687,16.3142
3.8639,11.7364,10.3093,9.5981,16.3012
3.8632,11.7322,10.3064,10.3249,16.2931
3.8624,11.7270,10.3060,12.1312,16.2857
3.8617,11.7225,10.3055,11.3791,16.2811
3.8609,11.7179,10.2994,10.9447,16.2724
3.8602,11.7133,10.2911,11.2552,16.2626
3.8594,11.7089,10.2873,10.0417,16.2429
3.8586,11.7043,10.2882,9.9904,16.2261
3.8578,11.6992,10.2917,10.3861,16.2141
3.8570,11.6948,10.2928,10.3399,16.1901
3.8562,11.6905,10.2932,10.6515,16.1780
3.8554,11.6854,10.2890,10.1314,16.1503
3.8546,11.6808,10.2827,9.2566,16.1277
3.8538,11.6761,10.2802,10.3802,16.1234
3.8529,11.6710,10.2721,10.4893,16.0988
3.8521,11.6651,10.2576,10.2421,16.0701
3.8513,11.6593,10.2427,8.8744,16.0594
3.8504,11.6534,10.2312,8.3841,16.0042
3.8495,11.6475,10.2224,9.5101,16.0109
3.8487,11.6424,10.2176,14.3193,16.0065
3.8479,11.6408,10.2325,17.8333,16.0159
3.8471,11.6497,10.3146,17.8220,16.0336
3.8463,11.6614,10.4327,17.8509,16.0479
3.8454,11.6651,10.5571,17.8490,16.0617
3.8445,11.6629,10.6407,17.8623,16.0641
3.8436,11.6584,10.6800,17.8551,16.0723
3.8427,11.6600,10.6977,17.8230,16.0714
3.8453,11.6867,10.7451,17.6650,16.0536
