DateTime,Storage_m3,Q_out_m3d,Q_in_m3d
1/1/2009,48901314.6,1859414.4,1707880.991
1/2/2009,48768283.78,1834963.2,2031342.744
1/3/2009,48768283.78,1785974.4,2276196.025
1/4/2009,48383845.07,1761523.2,1628147.094
1/5/2009,48252232.75,1810425.6,1926066.598
1/6/2009,47871864.53,1859414.4,1655940.192
1/7/2009,47871864.53,1908316.8,2073864.227
1/8/2009,47741584.37,1957219.2,1897294.87
1/9/2009,47365298.96,1932768,1669469.755
1/10/2009,46985831.17,1908316.8,1599497.694
1/11/2009,46864037.36,1908316.8,1897441.664
1/12/2009,46736557.2,1932768,1831628.782
1/13/2009,47114002.08,1810425.6,2177158.646
1/14/2009,46736557.2,1749254.4,1321468.849
1/15/2009,46864037.36,1729728,1807089.629
1/16/2009,46864037.36,1732147.2,1681384.578
1/17/2009,46864037.36,1746835.2,1694865.209
1/18/2009,46864037.36,1739491.2,1688406.25
1/19/2009,46985831.17,1739491.2,1811835.986
1/20/2009,46864037.36,1734652.8,1561771.5
1/21/2009,46985831.17,1739491.2,1812374.233
1/22/2009,46864037.36,1739491.2,1566835.911
1/23/2009,47114002.08,1737072,1936978.325
1/24/2009,47488350.93,1741910.4,2064542.774
1/25/2009,47741584.37,1773792,1976563.917
1/26/2009,47871864.53,1729728,1809560.671
1/27/2009,47741584.37,1722384,1543177.525
1/28/2009,47871864.53,1751760,1831751.111
1/29/2009,47996223.98,1766448,1838821.714
1/30/2009,47996223.98,1737072,1687109.565
1/31/2009,47617878.66,1751760,1321762.438
2/1/2009,47741584.37,1751760,1823995.466
2/2/2009,47871864.53,1783555.2,1846039.112
2/3/2009,47488350.93,1722384,1273100.051
2/4/2009,47617878.66,1715040,1778391.298
2/5/2009,47114002.08,1727308.8,1156961.11
2/6/2009,47488350.93,1741910.4,2050034.581
2/7/2009,47365298.96,1722384,1532119.004
2/8/2009,47236400.3,1737072,1541782.977
2/9/2009,47114002.08,1795737.6,1603020.763
2/10/2009,47114002.08,2013552,1944831.833
2/11/2009,47114002.08,1712620.8,1647548.438
2/12/2009,47114002.08,1693008,1628660.875
2/13/2009,47114002.08,1697932.8,1631670.163
2/14/2009,47114002.08,1737072,1669616.55
2/15/2009,47114002.08,1732147.2,1663916.029
2/16/2009,46985831.17,1724803.2,1529403.305
2/17/2009,47114002.08,1781136,1842246.92
2/18/2009,47114002.08,1746835.2,1679990.03
2/19/2009,46985831.17,1648944,1459675.902
2/20/2009,46985831.17,1700352,1664062.823
2/21/2009,47114002.08,1702771.2,1831237.33
2/22/2009,46864037.36,1722384,1471272.67
2/23/2009,47236400.3,1729728,2102733.818
2/24/2009,47871864.53,1697932.8,2333568.221
2/25/2009,47741584.37,1746835.2,1575619.117
2/26/2009,47741584.37,1871596.8,1802294.341
2/27/2009,47996223.98,1822694.4,2009641.619
2/28/2009,47741584.37,1717459.2,1395526.691
3/1/2009,47871864.53,1719964.8,1783137.655
3/2/2009,47617878.66,1722384,1401104.883
3/3/2009,47741584.37,1751760,1808679.904
3/4/2009,47741584.37,1803081.6,1734646.528
3/5/2009,47488350.93,1891209.6,1568524.048
