DateTime,Storage_m3,Q_out_m3d,Q_in_m3d
1/1/2009,42062210.73,2087516.118,2177672.427
1/2/2009,42073521.74,2217453.746,2228781.39
1/3/2009,42089828.35,2240720.679,2257014.872
1/4/2009,41949939.38,2344504.414,2204609.224
1/5/2009,42089828.35,2118881.217,2258776.407
1/6/2009,42102927.91,2131481.081,2144594.726
1/7/2009,41891447.76,2187703.387,1976221.397
1/8/2009,41782716.5,2196290.867,2087565.05
1/9/2009,41805474.2,2196193.004,2218946.157
1/10/2009,41715060.12,2193746.429,2103345.462
1/11/2009,41455461.92,2194235.744,1934629.613
1/12/2009,41327340.35,2195092.045,2066964.884
1/13/2009,41300240.8,2002448.687,1975365.095
1/14/2009,41345620.53,1892083.664,1937467.64
1/15/2009,41387682.19,1893625.006,1935657.174
1/16/2009,41342265.46,1894334.513,1848901.606
1/17/2009,41300240.8,1896585.363,1854553.195
1/18/2009,41345620.53,1895459.938,1940843.915
1/19/2009,41345620.53,1895704.596,1895704.596
1/20/2009,41300240.8,1895973.719,1850589.743
1/21/2009,41342265.46,1896585.363,1938593.065
1/22/2009,41342265.46,2151396.206,2151396.206
1/23/2009,41387682.19,1897563.993,1942972.435
1/24/2009,41478503.33,1897857.582,1988674.466
1/25/2009,41076425.85,1900646.678,1498576.453
1/26/2009,41433098.93,1900035.034,2256696.817
1/27/2009,41433098.93,1899129.801,1899129.801
1/28/2009,41534750.01,1847017.742,1948672.956
1/29/2009,41484547.38,1921051.118,1870847.388
1/30/2009,41478503.33,1897661.856,1891618.815
1/31/2009,41393849.59,1901307.254,1816655.74
2/1/2009,41481759.71,1898469.226,1986374.685
2/2/2009,41520700.68,1898053.308,1937002.791
2/3/2009,41560258.38,1899839.308,1939400.435
2/4/2009,41520700.68,1898469.226,1858908.1
2/5/2009,41426512.14,1898640.486,1804447.328
2/6/2009,41387682.19,2166295.851,2127444.231
2/7/2009,41338898.06,1896560.897,1847776.181
2/8/2009,41300240.8,1899814.843,1861183.415
2/9/2009,40645164.24,1893160.157,1238089.555
2/10/2009,41217461.95,1889661.554,2461964.506
2/11/2009,41238665.47,1892034.732,1913246.542
2/12/2009,41153580.02,1872119.607,1787052.176
2/13/2009,41202536.85,1865807.443,1914787.885
2/14/2009,41115181.79,1864682.018,1777339.271
2/15/2009,41157083.11,1862162.045,1904071.884
2/16/2009,41066175.63,1861966.319,1771051.572
2/17/2009,40990834.67,1780079.435,1704724.909
2/18/2009,41044145.68,1733863.623,1787174.505
2/19/2009,41235717.46,1733496.637,1925063.502
2/20/2009,41303164.14,1732248.884,1799700.971
2/21/2009,41529890.1,1732566.938,1959315.56
2/22/2009,41489419.62,1734793.322,1694302.497
2/23/2009,41663266.29,1673775.728,1847629.386
2/24/2009,41852025.74,1635070.903,1823848.672
2/25/2009,41932658.33,1744530.693,1825169.823
2/26/2009,41481537.69,1849390.921,1398266.856
2/27/2009,41975225.72,1956820.053,2450514.532
2/28/2009,42154339.35,1963303.478,2142417.274
3/1/2009,41702515.63,1959633.615,1559251.527
3/2/2009,40933527.19,0,1474526.616
3/3/2009,41115181.79,0,2178063.879
3/4/2009,40641550.14,0,1473841.574
3/5/2009,41004045.24,0,2251240.954
3/6/2009,40906353.63,0,1783724.833
3/7/2009,41212466.36,0,2180192.4
3/8/2009,41036152.73,0,1695305.593
3/9/2009,40563384.51,0,1406193.761
3/10/2009,41066175.63,0,2376872.608
3/11/2009,41115181.79,0,1923081.776
3/12/2009,41115181.79,0,1876523.443
3/13/2009,41206015.26,0,1962471.642
3/14/2009,41073354.48,0,1760996.146
3/15/2009,40679751.02,0,1473132.067
3/16/2009,41167123.63,0,2354119.456
3/17/2009,41167123.63,0,1869183.717
3/18/2009,41121780.91,0,1823824.206
3/19/2009,41164113.94,0,1911533.939
3/20/2009,40937215.3,0,2048884.691
3/21/2009,40097807.49,0,1468703.766
3/22/2009,38910212.94,0,1039794.607
3/23/2009,40449262.94,0,3741499.05
3/24/2009,40880302.53,0,2652112.357
3/25/2009,40383974.85,0,1552303.252
3/26/2009,41206015.26,911985.5004,2911473.831
3/27/2009,40713659.38,907875.2534,1732933.925
3/28/2009,40369678.81,903349.0887,1714609.074
3/29/2009,39062190.01,865500.565,656783.2052
3/30/2009,39986572.26,2097131.16,3536109.033
3/31/2009,39279997.91,2546762.814,1840191.797
4/1/2009,40965634.68,4213712.596,5899354.216
4/2/2009,40247712.31,4424093.628,3706170.499
4/3/2009,40859136.01,3977079.81,4588503.504
4/4/2009,41235322.74,4378416.062,4754601.518
4/5/2009,41177780.9,4722502.447,4664934.524
4/6/2009,41352182.64,4422283.162,4596675.066
4/7/2009,42115423.06,4711884.309,5475142.482
4/8/2009,42419981.61,6292323.18,6596897.37
4/9/2009,43569042.23,9907211.946,11056295.08
4/10/2009,44257916.14,14333262.83,15022145.11
4/11/2009,45514190.85,17384949.91,18641217.52
4/12/2009,46003537.04,21137678.74,21627018.32
4/13/2009,45820303.59,23225048.06,23041824.02
4/14/2009,45754781.13,25270629.88,25205110.59
4/15/2009,49439999.99,26621898.02,30307125.83
4/16/2009,52254764.34,39501014.21,42315799.38
4/17/2009,51334921.3,47719134.87,46799271.39
4/18/2009,51472343.31,46295178.97,46432603.11
4/19/2009,50991372.45,47069887.11,46588914.83
4/20/2009,50647823.6,46810354.38,46466781.77
4/21/2009,50861055.29,46162305.45,46375548.97
4/22/2009,50647823.6,46413544.29,46200325.23
4/23/2009,49717532.99,44447255.99,43516970.11
4/24/2009,51403626.14,41329315.65,43015422.12
4/25/2009,50607377.79,41577153.75,40780891.28
4/26/2009,51877048.1,40211401.89,41481076.73
4/27/2009,51636692.18,42326123.92,42085772.34
4/28/2009,51163146.88,42486937.33,42013378.17
4/29/2009,50846919.61,42567185.01,42250940.66
4/30/2009,51484826.13,41707556.23,42345476.34
5/1/2009,52411009.25,41792770.46,42718970.56
5/2/2009,52494256.82,42702798.7,42786031.2
5/3/2009,52441032.16,43302429.9,43249192.41
5/4/2009,52782582.77,43492675.61,43834217.56
5/5/2009,51988221.65,43339691.24,42545337.09
5/6/2009,50476838.6,42518865.15,41007468.64
5/7/2009,50462579.58,38940895.2,38926631.67
5/8/2009,51712822.57,38302045.4,39552294.43
5/9/2009,51204776.83,40282132.38,39774076.51
5/10/2009,51231851.71,39727664.97,39754748.56
5/11/2009,50629296.73,39017619.81,38415052.72
5/12/2009,47766118.29,37175397.36,34312218.93
5/13/2009,47971973.76,32282833.45,32488688.31
5/14/2009,48385485.6,29470788.45,29884308.64
5/15/2009,48562847.69,0,29846557.98
5/16/2009,49140017.65,0,29742872.11
5/17/2009,49046889.91,29944885.86,29851769.19
5/18/2009,47499772.95,29581544.92,28034428.41
5/19/2009,46698911.39,26402073.21,25601211.17
5/20/2009,47392620.54,24394633.5,25088360
5/21/2009,46941845.28,23845401.76,23394644.68
5/22/2009,46635214.48,21877180.67,21570551.35
5/23/2009,46461034.77,21629097.9,21454901.73
5/24/2009,46166085.03,21559076.91,21264117.77
5/25/2009,46308959.02,21618332.97,21761212.98
5/26/2009,46253316.74,21659998.15,21604363.03
5/27/2009,46246113.22,21796614.93,21789397.53
5/28/2009,46387914.08,21733150.76,21874978.75
5/29/2009,45028360.09,21713015.45,20353453.42
5/30/2009,45238409.4,21625330.18,21835393.15
5/31/2009,45494911.56,21782253.53,22038752.51
6/1/2009,46381179.28,22462156.88,23348428.87
6/2/2009,47435138.6,24676209.88,25730170.16
6/3/2009,47583193.2,26646510.57,26794577.32
