DateTime,Storage_m3,Q_out_m3d,Q_in_m3d
4/26/2009,801481383.3,39634358.4,21372109.61
4/27/2009,780327978.4,39634358.4,18481064.68
4/28/2009,758413664.3,40612924.8,18698785.44
4/29/2009,735543859.7,40857609.6,17987957.38
4/30/2009,712098340.6,40857609.6,17412229.23
5/1/2009,690023365.7,40857609.6,18782800.85
5/2/2009,670259315.7,39878956.8,20115083.56
5/3/2009,654337864.2,37677052.8,21755781.59
5/4/2009,636573704.7,40857609.6,23093618.03
5/5/2009,623508918.9,40857609.6,27793000.33
5/6/2009,613080499.2,40857609.6,30429381.21
5/7/2009,603997152.5,40857609.6,31774435.05
5/8/2009,595094781.9,40857609.6,31955432.71
5/9/2009,584396193.2,40857609.6,30159205.87
5/10/2009,573416901.3,40857609.6,29878510.26
5/11/2009,564498964.3,39634358.4,30716560.25
5/12/2009,561365345.4,35964432,32831037.63
5/13/2009,559519948.3,33517929.6,31672681.97
5/14/2009,559632959.7,31316025.6,31429174.31
5/15/2009,559171095.4,31071340.8,30609644.9
5/16/2009,561133648.5,31071340.8,33034054.47
5/17/2009,565198532.5,31316025.6,35381078.85
5/18/2009,573890520.7,31071340.8,39763507.3
5/19/2009,589845892.8,31071340.8,47026925.25
5/20/2009,612958656,31316025.6,54428966.16
5/21/2009,638057852.5,31316025.6,56415414.24
5/22/2009,661862548.6,31316025.6,55120906.66
5/23/2009,685363895,31316025.6,54817555.76
5/24/2009,711577034.9,31316025.6,57529364.56
5/25/2009,738653154.4,31071340.8,58147687.59
5/26/2009,765430623.7,31071340.8,57849034.12
5/27/2009,792485848,31071340.8,58126793.84
5/28/2009,819743745.4,31071340.8,58329468.16
5/29/2009,849195091,29848089.6,59299608.76
5/30/2009,882415100.4,28624752,61845001.49
5/31/2009,918668927.8,27401500.8,63655540.79
6/1/2009,958796881.5,26178249.6,66306405.39
6/2/2009,1000049313,26178249.6,67430875.98
6/3/2009,1041504257,26178249.6,67633403.5
6/4/2009,1079657569,26178249.6,64331749.81
6/5/2009,1119654774,26178249.6,66175660.4
6/6/2009,1157436118,26422848,64204430.01
6/7/2009,1198599961,26178249.6,67342285.48
6/8/2009,1235735653,26178249.6,63314121.17
6/9/2009,1266379305,26178249.6,56822084.03
6/10/2009,1293587641,26178249.6,53386749.45
6/11/2009,1317901690,26178249.6,50492450.57
6/12/2009,1341714786,26178249.6,49991514.23
6/13/2009,1364802448,26178249.6,49266055.65
6/14/2009,1390857246,26178249.6,52233213.54
6/15/2009,1414805421,26178249.6,50126565.2
6/16/2009,1437915594,26422848,49533246.17
6/17/2009,1453791863,33762528,49639060.56
6/18/2009,1462001906,42325545.6,50535803.89
6/19/2009,1467431228,45506102.4,50935623.27
6/20/2009,1472880583,45506102.4,50955685.19
6/21/2009,1480972372,47218636.8,55310711.99
6/22/2009,1482963973,53579750.4,55571614.8
6/23/2009,1483361314,55292284.8,55689931.2
6/24/2009,1482963973,55047686.4,54650625.91
6/25/2009,1483361314,55047686.4,55445273.64
6/26/2009,1486145735,55292284.8,58077030.49
6/27/2009,1488544705,56270937.6,58670202.73
6/28/2009,1487949860,57738873.6,57144346.96
6/29/2009,1484752828,57738873.6,54542144.75
6/30/2009,1481963004,57738873.6,54949352.78
7/1/2009,1476321067,57738873.6,52097232.87
7/2/2009,1474699349,55781654.4,54160209.84
7/3/2009,1471863739,54069033.6,51233689.57
7/4/2009,1467627808,51867129.6,47631474.06
7/5/2009,1463403916,49909910.4,45686226.31
7/6/2009,1457587749,48197289.6,42381367.6
7/7/2009,1452593697,45261417.6,40267575.26
7/8/2009,1450598235,40612924.8,38617678.11
7/9/2009,1446626738,40612924.8,36641652.44
7/10/2009,1442859221,38411020.8,34643705.45
7/11/2009,1440279398,35719833.6,33140186.92
7/12/2009,1439101733,33273244.8,32095768.28
7/13/2009,1438706711,31805308.8,31410458
7/14/2009,1437520880,31316025.6,30130336.28
7/15/2009,1435344553,31071340.8,28895182.62
7/16/2009,1431021822,31071340.8,26748777.43
7/17/2009,1424752352,31071340.8,24802037.26
7/18/2009,1417721059,31071340.8,24040198.11
7/19/2009,1409570840,31071340.8,22921281.25
7/20/2009,1401655291,31071340.8,23155932.31
7/21/2009,1392832516,31071340.8,22248717.63
7/22/2009,1383498773,31071340.8,21737750.32
7/23/2009,1372972711,31071340.8,20545436.2
7/24/2009,1362472713,31071340.8,20571492.23
7/25/2009,1351284433,31071340.8,19883197.13
7/26/2009,1340188046,31071340.8,19975090.51
7/27/2009,1330133186,29848089.6,19793334.41
7/28/2009,1320897505,28624752,19389233.53
7/29/2009,1310795920,28624752,18523341.51
7/30/2009,1300591649,28624752,18420634.27
7/31/2009,1290645248,27401500.8,17455240.02
8/1/2009,1280013033,27401500.8,16769415.97
8/2/2009,1269348599,27401500.8,16737194.57
8/3/2009,1258044828,27156816,15853197.89
8/4/2009,1250130204,24954912,17040423.14
8/5/2009,1240454022,24954912,15278864.28
8/6/2009,1231389325,24954912,15890361.37
8/7/2009,1222574803,24954912,16140523.72
8/8/2009,1214527271,24710313.6,16662867.6
8/9/2009,1207596964,22459420.8,15529246.82
8/10/2009,1200533441,22386067.2,15322633.52
8/11/2009,1195777833,20086272,15330780.62
8/12/2009,1190740300,19915027.2,14877576.96
8/13/2009,1186974486,18789580.8,15023882.18
8/14/2009,1182323193,18985363.2,14334119.14
8/15/2009,1176632916,20012918.4,14322693.63
8/16/2009,1170787454,20306505.6,14461096.41
8/17/2009,1164799599,20257516.8,14269774.2
8/18/2009,1159014196,20281968,14496694.08
8/19/2009,1152729689,20477750.4,14193318.71
8/20/2009,1145281480,21480854.4,14032701.03
8/21/2009,1136675108,22312627.2,13706376.78
8/22/2009,1127451219,22924252.8,13700505
8/23/2009,1118467858,22997692.8,14014425.11
8/24/2009,1109898490,22973241.6,14403944.4
8/25/2009,1101038095,22948790.4,14088458.48
8/26/2009,1091393749,22948790.4,13304502.28
8/27/2009,1081995396,22801996.8,13403710.92
8/28/2009,1074500315,21089376,13594372.55
8/29/2009,1067065428,21113827.2,13679048.53
8/30/2009,1058859628,21089376,12883666.82
8/31/2009,1051683007,21113827.2,13937309.05
9/1/2009,1044082612,21138278.4,13538003.45
9/2/2009,1036373362,21113827.2,13404689.55
9/3/2009,1028239881,21089376,12955963.13
9/4/2009,1020536638,21162729.6,13459615.17
9/5/2009,1012709825,21089376,13262641.37
9/6/2009,1004465319,21089376,12844962
9/7/2009,996440063.8,21064924.8,13039758.34
9/8/2009,988328082.6,21138278.4,13026424.51
9/9/2009,980130374.5,21015936,12818367.72
9/10/2009,973219112.1,19866124.8,12954911.1
9/11/2009,966207012.6,19841587.2,12829621.97
9/12/2009,959099010.1,19841587.2,12733716.21
9/13/2009,952036017.3,19866124.8,12803198.95
9/14/2009,945531494.9,19817136,13312722.78
9/15/2009,938708574.3,19768233.6,12945393.92
9/16/2009,933429983,18593884.8,13315365.08
9/17/2009,927437428.7,18520444.8,12528008.14
9/18/2009,922672951.9,17370633.6,12606200.69
9/19/2009,917780735.8,17419536,12527396.49
9/20/2009,912470530.4,17395084.8,12084933.3
9/21/2009,907489972.6,17370633.6,12390119.14
9/22/2009,902826949.4,17395084.8,12732125.93
9/23/2009,898040899,17321644.8,12535690.38
9/24/2009,892991031.9,17297193.6,12247410.39
9/25/2009,887831076.7,17321644.8,12161780.24
9/26/2009,883123648.3,17346096,12638789.08
9/27/2009,877591798.9,17321644.8,11789900.76
9/28/2009,872701975.8,17272742.4,12382999.6
9/29/2009,868497967.6,16122844.8,11918908.69
9/30/2009,865319832.3,16049491.2,12871385.01
10/1/2009,863162944.5,14728348.8,12577086.44
10/2/2009,861585545.6,13651804.8,12079330.65
10/3/2009,862300964,11327558.4,12055158.48
10/4/2009,863598054.6,11156313.6,12465180.08
10/5/2009,865468084.3,11107411.2,12990875.76
10/6/2009,867778318.3,9859622.4,12181279.45
10/7/2009,870378568.2,8783164.8,11388564.51
10/8/2009,872553427.8,8660822.4,10837913.75
10/9/2009,875323663.5,7364131.2,10135208.32
10/10/2009,877875116.9,7364131.2,9907994.85
10/11/2009,879713236.4,7388582.4,9219137.039
