DateTime,Storage_m3,Q_out_m3d,Q_in_m3d
1/1/2009,46945878.76,0,91868.91174
1/2/2009,47130715.73,0,184838.7825
1/3/2009,47144271.68,0,13554.02852
1/4/2009,47196583.57,0,52307.78516
1/5/2009,47329269.01,0,132702.2576
1/6/2009,47435656.66,0,106377.1047
1/7/2009,47514217,0,78559.54077
1/8/2009,47602410.82,0,88199.04842
1/9/2009,47691394.07,0,88981.95259
1/10/2009,47754486.57,0,63097.18332
1/11/2009,47805318.28,0,50839.83984
1/12/2009,47881596.68,0,76284.22551
1/13/2009,47944985.22,0,63390.77239
1/14/2009,48021473.32,0,76504.41731
1/15/2009,48085688.28,0,64222.60807
1/16/2009,48149298.85,0,63610.96418
1/17/2009,48213045.09,0,63757.75872
1/18/2009,48277457.42,0,64418.33411
1/19/2009,48367069.74,0,89618.06223
1/20/2009,48431691.76,0,64614.06016
1/21/2009,48495808.05,0,64124.74505
1/22/2009,48559961.34,0,64149.2108
1/23/2009,48676599.21,0,116628.2563
1/24/2009,48818807.12,0,142219.4365
1/25/2009,48883429.14,0,64638.52591
1/26/2009,48974817.67,0,91379.59663
1/27/2009,49026895.2,0,52087.59336
1/28/2009,49091800.92,0,64907.64922
1/29/2009,49170126.9,0,78314.88321
1/30/2009,49235229.97,0,65103.37527
1/31/2009,49287578.86,0,52356.71667
2/1/2009,49379719.82,0,92138.03505
2/2/2009,49457860.78,0,78143.62292
2/3/2009,49523987.64,0,66130.937
2/4/2009,49603004.37,0,79024.39012
2/5/2009,49655809.65,0,52797.10027
2/6/2009,49747975.27,0,92162.5008
2/7/2009,49840251.91,0,92284.82958
2/8/2009,49866747.06,0,26496.41316
2/9/2009,49959973.48,0,93214.52829
2/10/2009,50039730.3,0,79758.36278
2/11/2009,50129922.35,0,90180.77461
2/12/2009,50205880.05,0,75966.17069
2/13/2009,50243599.87,0,37726.19491
2/14/2009,50332768.14,0,89177.67864
2/15/2009,50383587.52,0,50815.37408
2/16/2009,50421430.68,0,37848.52369
2/17/2009,50510315.25,0,88884.08957
2/18/2009,50612398.06,0,102095.5975
2/19/2009,50676625.36,0,64222.60807
2/20/2009,50740322.27,0,63684.36145
2/21/2009,50791548.69,0,51231.29192
2/22/2009,50868505.51,0,76969.26666
2/23/2009,50971316.07,0,102805.1044
2/24/2009,51086967.15,0,115649.626
2/25/2009,51176949.52,0,89985.04857
2/26/2009,51280389.15,0,103441.2141
2/27/2009,51384038.47,0,103636.9401
2/28/2009,51422646.4,0,38606.96211
