DateTime,Storage_m3,Q_out_m3d,Q_in_m3d
4/23/2009,817409927.3,1237967.226,3922031.86
4/24/2009,821596518.8,1242860.377,5429464.916
4/25/2009,823682481.5,1235520.651,3321495.426
4/26/2009,825185020.4,1235520.651,2738060.556
4/27/2009,826381187.7,1394548.061,2590727.777
4/28/2009,828175432.4,1776213.846,3570458.954
4/29/2009,828773522.1,2544438.567,3142528.425
4/30/2009,828773522.1,3547534.541,3547534.541
5/1/2009,827577354.9,4330438.716,3134259
5/2/2009,826074815.9,4330438.716,2827898.81
5/3/2009,825476738.5,4354904.471,3756814.613
5/4/2009,825185020.4,4966548.357,4674818.689
5/5/2009,823988853.2,6483425.196,5287245.48
5/6/2009,820998429,8024767.789,5034342.966
5/7/2009,817409927.3,8807671.964,5219157.283
5/8/2009,814127797.4,8758740.453,5476585.961
5/9/2009,809649487.9,8783206.209,4304896.467
5/10/2009,806060986.2,8783206.209,5194691.527
5/11/2009,801582689,9248055.562,4769745.821
5/12/2009,799788432,9761836.427,7967591.319
5/13/2009,795937051.1,9810767.938,5959368.714
5/14/2009,792664776.6,9835233.693,6562963.367
5/15/2009,789117448.5,9810767.938,6263429.123
5/16/2009,787626171.2,9786302.182,8295016.524
5/17/2009,787930224,9835233.693,10139294.1
5/18/2009,791491971.5,9884165.204,13445914.35
5/19/2009,799498872.6,10251151.54,18258083.79
5/20/2009,810845655.1,10740466.64,22087268.11
5/21/2009,820108633.5,10960658.44,20223638.12
5/22/2009,827869072.9,11131918.73,18892382.97
5/23/2009,836887736,11205316,20224005.1
5/24/2009,847709598.7,11229781.75,22051670.43
5/25/2009,856725412.4,11303179.02,20319005.63
5/26/2009,867309127.2,11743562.62,22327301.63
5/27/2009,875784985,12306274.99,20782142.38
5/28/2009,885488624.2,12379672.26,22083329.12
5/29/2009,895211061.5,12453069.53,22175540.55
5/30/2009,902223469.3,12502001.04,19514424.8
5/31/2009,915340295.7,12575398.3,25692248.24
6/1/2009,926970087.8,12673261.33,24303082.65
6/2/2009,935878280.4,12771124.35,21679326.1
6/3/2009,942641920,12771124.35,19534780.31
6/4/2009,948475663.6,12844521.61,18678283.14
6/5/2009,955872448.5,12893453.13,20290258.37
6/6/2009,964225661.4,12942384.64,21295605.19
6/7/2009,971038171.4,12991316.15,19803830.22
6/8/2009,974436865.2,13015781.9,16414491.25
6/9/2009,975675513.5,13015781.9,14254434.17
6/10/2009,978772091,12306274.99,15402856.73
6/11/2009,982170784.8,10911726.93,14310436.28
6/12/2009,986217598.3,9663973.405,13710805.08
6/13/2009,990264498.2,9027863.763,13074768.84
6/14/2009,994950328.3,9027863.763,13713716.51
6/15/2009,999925187.6,8489617.143,13464483.86
6/16/2009,1005234776,7657781.458,12967388.64
6/17/2009,1010209709,7021671.816,11996611.93
6/18/2009,1020249620,6605753.973,16645692.64
6/19/2009,1029349927,6507890.951,15608222.28
6/20/2009,1036593390,6507890.951,13751369.31
6/21/2009,1046962406,7413123.903,17782175.91
6/22/2009,1053283991,10030959.74,16352568.43
6/23/2009,1055488836,12159480.46,14364334.34
6/24/2009,1055180466,13602960.03,13294593.65
6/25/2009,1054224519,13578494.28,12622543.81
6/26/2009,1055180466,13676357.3,14632307.76
6/27/2009,1055812625,13676357.3,14308527.95
6/28/2009,1053916149,13651891.54,11755404.04
6/29/2009,1051387515,13651891.54,11123257.85
6/30/2009,1048550511,13456165.5,10619165.43
7/1/2009,1046330247,13284905.21,11064637.9
7/2/2009,1043821423,12306274.99,9797458.567
7/3/2009,1040982420,11180850.24,8341843.98
7/4/2009,1039094814,10373480.31,8485873.882
7/5/2009,1036900292,9492713.117,7298183.784
7/6/2009,1035641908,8489617.143,7231245.477
7/7/2009,1034383537,8465151.388,7206779.722
7/8/2009,1031866769,8440685.632,5923917.834
7/9/2009,1029043025,8391754.121,5568014.49
7/10/2009,1025897034,8391754.121,5245751.559
7/11/2009,1022444141,8391754.121,4938853.122
7/12/2009,1018991248,8391754.121,4938853.122
7/13/2009,1016474480,8024767.789,5507999.991
7/14/2009,1014264627,7339726.637,5129857.275
7/15/2009,1011776698,6581288.218,4093365.545
7/16/2009,1010209709,5847315.554,4280332.848
7/17/2009,1008962131,5015479.868,3767897.6
7/18/2009,1007714614,4844219.58,3596710.71
7/19/2009,1006162822,4844219.58,3292430.109
7/20/2009,1006162822,4819753.825,4819753.825
7/21/2009,1004915305,4795288.069,3547779.199
7/22/2009,1003363513,4819753.825,3267964.353
7/23/2009,1001796451,4672959.292,3105903.189
7/24/2009,1000868417,4550630.515,3622595.479
7/25/2009,999620900.4,4550630.515,3303121.644
7/26/2009,998373395.7,4550630.515,3303121.644
7/27/2009,997125878.7,4452767.493,3205258.622
7/28/2009,995878374,4257041.449,3009532.579
7/29/2009,994007024.5,4257041.449,2385704.746
7/30/2009,992135761.4,4208109.938,2336846.632
7/31/2009,990264498.2,4208109.938,2336846.632
8/1/2009,988088947.8,4183644.183,2008100.276
8/2/2009,986217598.3,4183644.183,2312307.48
8/3/2009,984346335.2,4159178.427,2287915.121
8/4/2009,982475072,4134712.672,2263449.366
8/5/2009,980010727,4134712.672,1670374.988
8/6/2009,979693500.6,4134712.672,3817465.221
8/7/2009,977533442.7,4110246.917,1950189.833
8/8/2009,975358274.8,4110246.917,1935069.996
8/9/2009,973817584.2,4085781.161,2545074.677
8/10/2009,971340287.7,4085781.161,1608476.627
8/11/2009,968863003.4,4208109.938,1730805.404
8/12/2009,966400817,4330438.716,1868254.018
8/13/2009,964225661.4,4330438.716,2155261.795
8/14/2009,960826955.3,4330438.716,931729.365
8/15/2009,957730377.7,4305972.96,1209391.224
8/16/2009,955872448.5,4305972.96,2448043.491
8/17/2009,952775883.3,4501699.004,1405117.267
8/18/2009,949090553.4,4624027.781,938702.1053
8/19/2009,946631068.3,4599562.026,2140068.561
8/20/2009,943556693.4,4599562.026,1525195.195
8/21/2009,940482318.5,4599562.026,1525195.195
8/22/2009,937108060,4599562.026,1225293.965
8/23/2009,934648500.8,4599562.026,2139995.164
8/24/2009,932503947.8,4599562.026,2454991.765
8/25/2009,929429647,4599562.026,1525268.592
8/26/2009,926355272.1,4599562.026,1525195.195
8/27/2009,923280909.5,4599562.026,1525195.195
8/28/2009,920223729.3,4624027.781,1566835.911
8/29/2009,916858869.9,4599562.026,1234688.815
8/30/2009,913806771.7,4599562.026,1547459.033
8/31/2009,910159062.9,4624027.781,976305.9715
9/1/2009,907106903,4624027.781,1571851.391
9/2/2009,904367417.9,4624027.781,1884548.211
9/3/2009,900704907.5,4599562.026,937038.4339
9/4/2009,897355010.1,4624027.781,1274127.613
9/5/2009,893990150.7,4624027.781,1259154.57
9/6/2009,890938052.5,4624027.781,1571924.788
9/7/2009,887308081.2,4599562.026,969577.8887
9/8/2009,883965042,4624027.781,1280978.024
9/9/2009,880341003.8,4624027.781,999988.8227
9/10/2009,876702151.4,4599562.026,960721.2852
9/11/2009,873373914,4599562.026,1271314.051
9/12/2009,869735074,4599562.026,960721.2852
9/13/2009,865489670.2,4575096.27,329676.0548
9/14/2009,863374400,4575096.27,2459835.985
9/15/2009,860342049.8,4575096.27,1542737.142
9/16/2009,857033782.4,4624027.781,1315743.863
9/17/2009,853715252.5,4648493.537,1329958.467
9/18/2009,850411376.3,4624027.781,1320147.699
9/19/2009,847107574.1,4599562.026,1295755.34
9/20/2009,843803698,4599562.026,1295681.943
9/21/2009,838987501.3,4599562.026,-216644.2646
9/22/2009,835375255.1,4575096.27,962849.806
9/23/2009,831469440.7,4550630.515,644819.4508
9/24/2009,827869072.9,4550630.515,950249.9419
9/25/2009,824586930.7,4599562.026,1317407.534
9/26/2009,820998429,4624027.781,1035513.1
9/27/2009,817118209.3,4599562.026,719342.1419
9/28/2009,813529707.6,4575096.27,986581.5887
9/29/2009,809649487.9,4575096.27,694876.3864
9/30/2009,806367357.9,4575096.27,1292941.779
10/1/2009,802472484.5,4550630.515,655755.6435
10/2/2009,798905186.3,4550630.515,983327.6433
10/3/2009,795039386,4526164.759,660355.2055
10/4/2009,792085657.8,4501699.004,1547972.813
10/5/2009,789407007.9,4134712.672,1456054.97
10/6/2009,786742913.2,3351808.497,687707.9201
10/7/2009,784962002.4,2642301.589,861390.3181
10/8/2009,784078756.7,2040444.005,1157181.302
10/9/2009,783774703.9,1467945.327,1163884.919
10/10/2009,783181091.6,1225734.348,632121.7237
10/11/2009,783181091.6,1220841.197,1220841.197
10/12/2009,782587479.4,1220841.197,627228.5726
10/13/2009,782891532.2,1223287.773,1527348.182
10/14/2009,783485144.5,1225734.348,1819346.973
10/15/2009,784078756.7,1228180.924,1821793.548
10/16/2009,784078756.7,1225734.348,1225734.348
10/17/2009,784078756.7,1223287.773,1223287.773
10/18/2009,784078756.7,1220841.197,1220841.197
10/19/2009,784078756.7,1223287.773,1223287.773
10/20/2009,784368390.2,1223287.773,1512913.386
10/21/2009,784078756.7,1223287.773,933662.1597
10/22/2009,783774703.9,1220841.197,916780.7884
10/23/2009,784078756.7,1218394.622,1522455.03
10/24/2009,784672443,1235520.651,1829206.672
10/25/2009,784078756.7,1230627.499,636941.4775
10/26/2009,783181091.6,1220841.197,323168.1638
10/27/2009,784368390.2,1184142.564,2371441.211
10/28/2009,783774703.9,1132764.478,539078.4557
10/29/2009,783181091.6,1132764.478,539151.853
10/30/2009,783181091.6,1135211.053,1135211.053
10/31/2009,783181091.6,1137657.629,1137657.629
11/1/2009,782891532.2,1135211.053,845658.8373
11/2/2009,782891532.2,1132764.478,1132764.478
11/3/2009,782891532.2,1127871.326,1127871.326
11/4/2009,782587479.4,1125424.751,821364.3422
11/5/2009,782297920,1125424.751,835872.5351
11/6/2009,781993793.1,1118085.024,813951.2182
11/7/2009,782891532.2,1118085.024,2015831.455
11/8/2009,782587479.4,1115638.449,811578.04
11/9/2009,781993793.1,1110745.298,517059.2758
11/10/2009,781704233.7,1110745.298,821193.0819
11/11/2009,781993793.1,1110745.298,1400297.513
11/12/2009,782297920,1110745.298,1414879.104
11/13/2009,781993793.1,1105852.147,801718.3405
11/14/2009,781993793.1,1108298.722,1108298.722
11/15/2009,781704233.7,1105852.147,816299.9308
11/16/2009,781400180.9,1108298.722,804238.3133
11/17/2009,781110621.5,1105852.147,816299.9308
11/18/2009,780806568.6,1108298.722,804238.3133
11/19/2009,780517009.2,1105852.147,816299.9308
11/20/2009,779923310.6,1105852.147,512166.1247
11/21/2009,779923310.6,1100958.995,1100958.995
11/22/2009,780212956.4,1100958.995,1390584.609
11/23/2009,780212956.4,1098512.42,1098512.42
11/24/2009,779923310.6,1096065.844,806440.2313
11/25/2009,779923310.6,1096065.844,1096065.844
11/26/2009,779619257.8,1096065.844,792005.4356
11/27/2009,779329698.4,1096065.844,806513.6286
11/28/2009,779329698.4,1098512.42,1098512.42
11/29/2009,778736086.1,1096065.844,502453.2198
11/30/2009,778432033.3,1096065.844,792005.4356
12/1/2009,778142399.9,1093619.269,803993.6558
12/2/2009,777838347,1093619.269,789558.8601
12/3/2009,777259228.2,1096065.844,516936.947
12/4/2009,776665541.9,1100958.995,507272.9736
12/5/2009,776361489.1,1100958.995,796898.5867
12/6/2009,775767876.8,1105852.147,512239.522
12/7/2009,775478317.4,1100958.995,811406.7797
12/8/2009,775478317.4,1100958.995,1100958.995
12/9/2009,775478317.4,1100958.995,1100958.995
12/10/2009,774884705.2,1103405.571,509792.9464
12/11/2009,774291018.9,1103405.571,509719.5492
12/12/2009,774884705.2,1103405.571,1697091.593
12/13/2009,775478317.4,1105852.147,1699464.771
12/14/2009,775767876.8,1100958.995,1390511.211
12/15/2009,775767876.8,1100958.995,1100958.995
12/16/2009,776361489.1,1100983.461,1694596.086
12/17/2009,776665541.9,1100958.995,1405019.404
12/18/2009,776665541.9,1100958.995,1100958.995
12/19/2009,776665541.9,1100958.995,1100958.995
12/20/2009,776361489.1,1100958.995,796898.5867
12/21/2009,776665541.9,1103405.571,1407465.98
12/22/2009,776665541.9,1105852.147,1105852.147
12/23/2009,776361489.1,1103405.571,799345.1622
12/24/2009,776071929.7,1108298.722,818746.5063
12/25/2009,775767876.8,1108298.722,804238.3133
12/26/2009,775767876.8,1110745.298,1110745.298
12/27/2009,775767876.8,1110745.298,1110745.298
12/28/2009,775478317.4,1113191.873,823639.6574
12/29/2009,775174264.6,1115638.449,811578.04
12/30/2009,775174264.6,1118085.024,1118085.024
12/31/2009,775478317.4,1115638.449,1419698.858
1/1/2010,775767876.8,1118085.024,1407637.24
1/2/2010,776665541.9,1120531.6,2018204.633
1/3/2010,776361489.1,1120531.6,816471.1911
1/4/2010,776071929.7,1120531.6,830979.384
1/5/2010,777259228.2,1122978.175,2310276.822
1/6/2010,777259228.2,1127871.326,1127871.326
1/7/2010,776955175.4,1130317.902,826257.4932
1/8/2010,776665541.9,1135211.053,845585.4401
1/9/2010,776361489.1,1137657.629,833597.2199
1/10/2010,776361489.1,1142550.78,1142550.78
1/11/2010,776071929.7,1144997.355,855445.1395
1/12/2010,775767876.8,1144997.355,840936.9465
1/13/2010,776071929.7,1149890.506,1453950.915
1/14/2010,775767876.8,1147443.931,843383.5221
1/15/2010,775478317.4,1149890.506,860338.2906
1/16/2010,775478317.4,1152337.082,1152337.082
1/17/2010,775174264.6,1154783.657,850723.2487
1/18/2010,774884705.2,1154783.657,865231.4417
1/19/2010,775174264.6,1159676.809,1449229.024
1/20/2010,775174264.6,1164569.96,1164569.96
1/21/2010,774884705.2,1167016.535,877464.3194
1/22/2010,775767876.8,1171909.686,2055074.527
1/23/2010,776665541.9,1179249.413,2076922.446
1/24/2010,776361489.1,1184142.564,880082.1552
1/25/2010,776361489.1,1189035.715,1189035.715
1/26/2010,776665541.9,1193928.866,1497989.275
1/27/2010,776665541.9,1201268.593,1201268.593
1/28/2010,776361489.1,1206161.744,902101.3352
1/29/2010,776361489.1,1211054.895,1211054.895
1/30/2010,776071929.7,1218394.622,928842.4059
1/31/2010,776071929.7,1228180.924,1228180.924
2/1/2010,776071929.7,1189035.715,1189035.715
2/2/2010,775767876.8,1125424.751,821364.3422
2/3/2010,775767876.8,1130317.902,1130317.902
2/4/2010,776071929.7,1135211.053,1439271.462
2/5/2010,776071929.7,1122978.175,1122978.175
2/6/2010,776361489.1,1113191.873,1402744.089
2/7/2010,776071929.7,1120531.6,830979.384
2/8/2010,776071929.7,1125424.751,1125424.751
2/9/2010,776361489.1,1108298.722,1397850.938
2/10/2010,776071929.7,1098512.42,808960.2041
2/11/2010,775767876.8,1100958.995,796898.5867
2/12/2010,776361489.1,1105852.147,1699464.771
2/13/2010,776361489.1,1110745.298,1110745.298
2/14/2010,776361489.1,1115638.449,1115638.449
2/15/2010,776361489.1,1120531.6,1120531.6
