DateTime,Storage_m3,Q_out_m3d,Q_in_m3d
1/1/2009,1188572928,1279584,11326812.94
1/2/2009,1197221239,1286928,9935225.236
1/3/2009,1208440973,1282003.2,12501756.38
1/4/2009,1210655686,1274659.2,3489379.44
1/5/2009,1228112277,1277078.4,18733747.01
1/6/2009,1236840542,1272240,10000499.87
1/7/2009,1246741304,1284422.4,11185229.61
1/8/2009,1254297134,1264896,8820736.677
1/9/2009,1265336854,1247788.8,12287509.76
1/10/2009,1275531726,1250208,11445080.4
1/11/2009,1285592445,1250208,11310934.66
1/12/2009,1291226452,1252627.2,6886645.311
1/13/2009,1305848124,1257552,15879253.92
1/14/2009,1316579548,1257552,11989003.08
1/15/2009,1326854596,1255046.4,11530147.83
1/16/2009,1332158400,1279584,6583367.807
1/17/2009,1346523508,1279584,15644700.72
1/18/2009,1355738998,1272240,10487710.93
1/19/2009,1364954475,1269734.4,10485264.35
1/20/2009,1374169964,1269734.4,10485264.35
1/21/2009,1383044544,1296691.2,10171270.84
1/22/2009,1391406614,1279584,9641636.17
1/23/2009,1402744910,1252627.2,12590982.99
1/24/2009,1412807640,1311379.2,11374129.71
1/25/2009,1423437462,1259971.2,11889818.9
1/26/2009,1432933260,1252627.2,10748466.95
1/27/2009,1441445036,1252627.2,9764454.263
1/28/2009,1450598691,1252627.2,10406313.36
1/29/2009,1458444549,1257552,9103414.016
1/30/2009,1465854532,1252627.2,8662638.966
1/31/2009,1472538144,1264896,7948508.03
2/1/2009,1482272768,1264896,10999534.53
2/2/2009,1490845146,1191456,9763867.084
2/3/2009,1500672898,1096070.4,10923837.48
2/4/2009,1509279504,1186617.6,9793201.525
2/5/2009,1519221809,1286928,11229219.04
2/6/2009,1528570515,1245283.2,10594014.63
2/7/2009,1537919060,1208563.2,10557169.21
2/8/2009,1546674140,1213488,9968596.526
2/9/2009,1555280907,1213488,9820285.117
2/10/2009,1564750333,1220832,10690287.38
2/11/2009,1574885061,1220832,11355584.67
2/12/2009,1585019802,1215907.2,11350691.52
2/13/2009,1593339316,1218412.8,9537925.833
2/14/2009,1602869022,1228176,10757910.73
2/15/2009,1611037287,1223251.2,9391571.684
2/16/2009,1621172015,1223251.2,11358031.24
2/17/2009,1630249503,1225756.8,10303239.13
2/18/2009,1640570338,1228176,11549035.4
2/19/2009,1650275051,1228176,10932914.28
2/20/2009,1659209615,1228176,10162756.76
2/21/2009,1666295649,1225756.8,8311775.567
2/22/2009,1669530599,1230595.2,4465587.549
2/23/2009,1672765560,1255046.4,4490053.304
2/24/2009,1688988746,1284422.4,17507670.14
2/25/2009,1708758346,1274659.2,21044317.42
2/26/2009,1719898373,1279584,12419600.37
2/27/2009,1728998680,1277078.4,10377443.77
2/28/2009,1737628414,1277078.4,9906869.425
3/1/2009,1747513215,1277078.4,11161938.21
3/2/2009,1757498692,1279584,11265061.37
3/3/2009,1768848718,1269734.4,12619828.12
3/4/2009,1778120627,1247788.8,10519687.67
3/5/2009,1788191843,1264896,11336109.93
3/6/2009,1796984237,1250208,10042629.9
3/7/2009,1808334411,1255046.4,12605295.46
3/8/2009,1819045026,1250208,11960842.99
3/9/2009,1827203732,1237939.2,9396685.027
3/10/2009,1839441704,1225756.8,13463725.42
3/11/2009,1847763525,1198800,9520677.475
3/12/2009,1857227560,1201219.2,10665307.84
3/13/2009,1867507531,1203724.8,11483711.83
3/14/2009,1876318895,1198800,10010212.78
3/15/2009,1884640728,1193961.6,9515784.324
3/16/2009,1894211916,1196380.8,10767574.7
3/17/2009,1902664030,1196380.8,9648511.047
3/18/2009,1912276070,1196380.8,10808432.51
3/19/2009,1922716714,1250208,11690863.38
3/20/2009,1931002924,3278361.6,11564644.55
3/21/2009,1936471866,4942080,10411035.25
3/22/2009,1941443555,4795286.4,9766998.701
3/23/2009,1949066930,4795286.4,12418670.67
3/24/2009,1954535872,5309020.8,10778021.58
3/25/2009,1964459367,5039884.8,14963476.23
3/26/2009,1971552802,4844188.8,11937673.92
3/27/2009,1973579570,4868640,6895452.983
3/28/2009,1980673005,4868640,11962139.68
3/29/2009,1988442079,5015433.6,12784580.51
3/30/2009,1987766440,5260118.4,4584491.12
3/31/2009,1993339920,6532358.4,12105851.53
4/1/2009,1991313152,8171539.2,6144794.674
4/2/2009,1996211153,8171539.2,13069557.63
4/3/2009,1999757864,8147088,11693823.74
4/4/2009,2006175821,8147088,14565051.4
4/5/2009,2009046894,8122550.4,10993711.68
4/6/2009,2015971502,8049196.8,14973849.71
4/7/2009,2025936170,8195990.4,18160710.08
4/8/2009,2031561604,9737280,15362830.75
4/9/2009,2041648855,12183868.8,22271201.66
4/10/2009,2048145743,14459212.8,20956167.3
4/11/2009,2046606976,17248291.2,15709583.91
4/12/2009,2053103876,19376755.2,25873784.15
4/13/2009,2056010411,21872246.4,24778941.59
4/14/2009,2059600763,24710313.6,28300762.62
4/15/2009,2053787841,33273244.8,27460486.25
4/16/2009,2044555391,45016732.8,35784519.16
4/17/2009,2033100370,48197289.6,36742500.28
4/18/2009,2025936170,48197289.6,41033304.47
4/19/2009,2020193852,48441974.4,42699862.8
4/20/2009,2013269256,48441974.4,41517579.64
4/21/2009,2009046894,48686572.8,44464479.88
4/22/2009,2003980226,48931257.6,44207344.79
4/23/2009,1995535514,46484668.8,38079358.09
4/24/2009,2005500182,44772134.4,54776159.7
4/25/2009,2006851299,44527449.6,45917941.48
4/26/2009,2015295864,44527449.6,53011395.82
4/27/2009,2019518214,44038166.4,48331683.98
4/28/2009,2018842735,44282764.8,43676046.45
4/29/2009,2023064937,44772134.4,49033679.91
4/30/2009,2023064937,45750700.8,45790107.91
5/1/2009,2022389447,45506102.4,44869975.31
5/2/2009,2018167097,45750700.8,41567734.44
5/3/2009,2013944734,45750700.8,41567734.44
5/4/2009,2018842735,45750700.8,50665276.67
5/5/2009,2015971502,45750700.8,42879735.04
5/6/2009,2018842735,44038166.4,46909587.48
5/7/2009,2022389447,42814828.8,46400944.43
5/8/2009,2031561604,43059513.6,52271062.06
5/9/2009,2037374539,43059513.6,48911815.98
5/10/2009,2042332660,43059513.6,48068016.54
5/11/2009,2046606976,43059513.6,47456372.65
5/12/2009,2041648855,40857609.6,36051367.16
5/13/2009,2053103876,35964432,47581172.47
5/14/2009,2056010411,34251897.6,37320087.84
5/15/2009,2058061997,34007212.8,36225367.61
5/16/2009,2056010411,34007212.8,32153972.31
5/17/2009,2051565110,33028560,28759593.4
5/18/2009,2042332660,31316025.6,22206024.88
5/19/2009,2037374539,31316025.6,26541528.01
